date,state,cases
August-31-2020 16:04:04,Andaman and Nicobar Islands,473
August-31-2020 16:04:04,Andhra Pradesh,99129
August-31-2020 16:04:04,Arunachal Pradesh,1205
August-31-2020 16:04:04,Assam,21497
August-31-2020 16:04:04,Bihar,17019
August-31-2020 16:04:04,Chandigarh,1805
August-31-2020 16:04:04,Chhattisgarh,13520
August-31-2020 16:04:04,Delhi,14793
August-31-2020 16:04:04,Dadra and Nagar Haveli and Daman and Diu,277
August-31-2020 16:04:04,Goa,3635
August-31-2020 16:04:04,Gujarat,15292
August-31-2020 16:04:04,Himachal Pradesh,1462
August-31-2020 16:04:04,Haryana,10980
August-31-2020 16:04:04,Jharkhand,11577
August-31-2020 16:04:04,Jammu and Kashmir,7959
August-31-2020 16:04:04,Karnataka,88091
August-31-2020 16:04:04,Kerala,23658
August-31-2020 16:04:04,Ladakh,847
August-31-2020 16:04:04,Lakshadweep,0
August-31-2020 16:04:04,Maharashtra,193548
August-31-2020 16:04:04,Meghalaya,1284
August-31-2020 16:04:04,Manipur,1845
August-31-2020 16:04:04,Madhya Pradesh,13592
August-31-2020 16:04:04,Mizoram,422
August-31-2020 16:04:04,Nagaland,887
August-31-2020 16:04:04,Odisha,29758
August-31-2020 16:04:04,Punjab,15375
August-31-2020 16:04:04,Puducherry,4938
August-31-2020 16:04:04,Rajasthan,14515
August-31-2020 16:04:04,Sikkim,404
August-31-2020 16:04:04,Telangana,31299
August-31-2020 16:04:04,Tamil Nadu,52721
August-31-2020 16:04:04,Tripura,4089
August-31-2020 16:04:04,Uttar Pradesh,54666
August-31-2020 16:04:04,Uttarakhand,5912
August-31-2020 16:04:04,West Bengal,25657
